               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.030443,            0.012109,                   0,             0.94487,             0.84074,             0.88652,             0.53922,            0.031175,           0.0077667,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.030779,             0.01215,                   0,              0.9375,             0.84989,             0.88864,             0.54682,            0.029536,           0.0077466,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.030044,             0.01184,                   0,             0.92151,             0.84507,              0.8872,             0.53276,            0.031077,           0.0079682,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.030118,            0.011782,                   0,             0.95422,             0.86186,             0.90226,             0.55849,            0.029583,           0.0075062,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.030364,            0.011885,                   0,             0.92904,             0.84227,             0.88745,             0.55981,            0.029076,           0.0075791,                   0,            0.007228,            0.007228,            0.007228
                  44,             0.02881,            0.011505,                   0,             0.93276,              0.8497,             0.88371,             0.51093,            0.033097,           0.0077502,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.029396,            0.011846,                   0,             0.95384,             0.85448,             0.89806,             0.56439,            0.028525,           0.0074217,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.028738,            0.011348,                   0,             0.95188,             0.84839,              0.8918,             0.57302,            0.028215,            0.007536,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.028763,            0.011671,                   0,             0.95545,             0.85452,             0.89628,             0.57108,            0.028566,           0.0075225,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.029481,             0.01164,                   0,              0.9618,             0.84836,             0.89747,             0.57219,            0.028284,           0.0078182,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.027837,            0.011624,                   0,             0.94538,             0.84814,             0.88696,             0.58696,            0.027562,           0.0075089,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.028141,            0.011191,                   0,             0.93687,             0.86353,             0.90136,             0.56741,            0.028864,           0.0076207,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.028081,            0.011161,                   0,             0.94772,              0.8605,             0.90045,              0.5699,            0.028534,           0.0073917,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.028283,            0.011566,                   0,             0.96575,              0.8636,              0.9058,             0.60006,            0.026931,           0.0071859,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.028712,            0.011282,                   0,             0.93103,             0.86828,             0.89988,             0.58379,            0.027537,           0.0074449,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.027618,            0.010848,                   0,             0.94806,              0.8683,              0.9096,             0.58815,            0.027105,           0.0074214,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.027161,             0.01127,                   0,             0.94537,             0.87596,             0.90539,             0.59385,             0.02764,           0.0071943,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.027125,            0.010953,                   0,             0.93205,             0.86217,             0.89611,             0.59189,            0.027455,           0.0073215,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.027419,            0.011049,                   0,             0.95577,             0.82848,             0.89722,             0.54397,            0.031485,           0.0075338,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.026442,            0.010751,                   0,             0.93674,             0.86371,             0.90536,             0.59935,            0.026781,           0.0071036,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.026961,            0.010791,                   0,             0.95437,             0.83767,             0.89214,             0.60484,            0.026575,           0.0072778,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.026602,            0.010863,                   0,             0.94949,             0.86363,             0.90435,              0.6047,            0.026259,           0.0070933,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.026498,            0.010676,                   0,             0.94157,              0.8637,             0.90066,             0.61045,            0.025767,           0.0071908,                   0,             0.00604,             0.00604,             0.00604
                  62,              0.0256,            0.010422,                   0,              0.9398,             0.86061,             0.90241,             0.56079,            0.029423,             0.00733,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.026718,            0.010877,                   0,             0.94536,             0.84992,             0.90208,             0.63294,             0.02505,           0.0071029,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.026319,            0.010805,                   0,             0.94932,              0.8606,             0.90678,             0.60507,            0.026491,           0.0071509,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.026242,            0.010921,                   0,             0.94351,             0.87136,             0.91063,             0.58743,            0.029085,           0.0070316,                   0,            0.005776,            0.005776,            0.005776
                  66,            0.026084,            0.010666,                   0,             0.95542,             0.85452,             0.90623,             0.62655,            0.025374,           0.0069484,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.025345,            0.010412,                   0,             0.95608,             0.86677,             0.90215,             0.61539,            0.025735,           0.0070318,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.025325,            0.010777,                   0,             0.95931,              0.8683,             0.90489,             0.62917,            0.025437,           0.0066572,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.024259,            0.010063,                   0,             0.95979,             0.87749,             0.91007,             0.60718,            0.026841,           0.0067617,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.024797,            0.010205,                   0,             0.94857,             0.87596,              0.9031,             0.61233,            0.025874,           0.0069477,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.024684,            0.010354,                   0,              0.9658,             0.86677,             0.91218,             0.63087,            0.024931,           0.0067248,                   0,             0.00538,             0.00538,             0.00538
                  72,            0.024881,            0.010188,                   0,             0.96068,             0.86061,             0.90151,             0.62013,            0.025347,           0.0067815,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.024635,           0.0099994,                   0,             0.95139,             0.86983,             0.91212,             0.62438,            0.025701,           0.0068418,                   0,            0.005248,            0.005248,            0.005248
                  74,            0.024746,            0.010158,                   0,             0.95294,             0.86823,             0.90742,              0.6189,            0.026156,           0.0068128,                   0,            0.005182,            0.005182,            0.005182
                  75,            0.023834,            0.010245,                   0,             0.97752,              0.8683,             0.92081,             0.62783,            0.025707,           0.0065691,                   0,            0.005116,            0.005116,            0.005116
                  76,            0.023634,           0.0096232,                   0,             0.96115,             0.87596,             0.91263,             0.64792,            0.024001,           0.0065635,                   0,             0.00505,             0.00505,             0.00505
                  77,            0.023838,           0.0099488,                   0,             0.95789,             0.87596,             0.91493,             0.65135,            0.023885,           0.0064819,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.023704,           0.0098944,                   0,             0.95789,             0.87136,             0.91622,             0.64581,            0.024237,           0.0064514,                   0,            0.004918,            0.004918,            0.004918
                  79,            0.023517,           0.0097639,                   0,             0.95613,             0.86778,             0.90715,              0.6468,            0.024082,           0.0063985,                   0,            0.004852,            0.004852,            0.004852
                  80,             0.02365,           0.0098802,                   0,              0.9531,             0.87133,             0.90506,             0.64621,            0.023778,           0.0064922,                   0,            0.004786,            0.004786,            0.004786
                  81,            0.023562,            0.010157,                   0,              0.9516,             0.87596,              0.9134,             0.64723,            0.023813,           0.0064902,                   0,             0.00472,             0.00472,             0.00472
                  82,            0.023067,           0.0095918,                   0,             0.96259,              0.8683,             0.91187,              0.6262,            0.026254,           0.0065687,                   0,            0.004654,            0.004654,            0.004654
                  83,            0.023386,            0.009644,                   0,             0.95309,             0.87112,             0.90796,             0.64348,            0.024293,           0.0064336,                   0,            0.004588,            0.004588,            0.004588
                  84,            0.022854,           0.0094923,                   0,             0.95623,              0.8698,             0.91351,             0.66168,              0.0233,           0.0063523,                   0,            0.004522,            0.004522,            0.004522
                  85,            0.022678,            0.009088,                   0,             0.96769,             0.87443,             0.91273,             0.65599,             0.02367,            0.006508,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.022575,           0.0096774,                   0,              0.9562,             0.87136,             0.91496,             0.64037,            0.024537,           0.0065186,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.022316,           0.0096489,                   0,             0.96052,             0.85911,             0.90822,             0.64874,            0.024388,           0.0064619,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.022343,           0.0094583,                   0,             0.95572,             0.86983,             0.91269,             0.65186,            0.024177,           0.0062734,                   0,            0.004258,            0.004258,            0.004258
                  89,            0.022029,           0.0095594,                   0,             0.94716,             0.88055,             0.91153,             0.67204,            0.022799,           0.0062728,                   0,            0.004192,            0.004192,            0.004192
                  90,            0.021876,           0.0092082,                   0,             0.94961,              0.8683,             0.91298,             0.63173,            0.025222,           0.0063554,                   0,            0.004126,            0.004126,            0.004126
                  91,            0.022138,           0.0091481,                   0,             0.94351,             0.86983,             0.91331,             0.65351,            0.023604,           0.0064302,                   0,             0.00406,             0.00406,             0.00406
                  92,            0.021861,            0.009706,                   0,             0.95477,             0.87281,             0.91238,             0.67254,            0.022604,            0.006145,                   0,            0.003994,            0.003994,            0.003994
                  93,            0.021959,           0.0094262,                   0,             0.96891,             0.85902,              0.9111,             0.66151,            0.022961,           0.0061921,                   0,            0.003928,            0.003928,            0.003928
                  94,             0.02147,           0.0090865,                   0,             0.95867,             0.88821,             0.91704,             0.66377,             0.02319,           0.0061486,                   0,            0.003862,            0.003862,            0.003862
                  95,            0.021105,            0.009294,                   0,             0.95868,             0.87289,             0.91056,             0.65818,            0.023576,           0.0061881,                   0,            0.003796,            0.003796,            0.003796
                  96,            0.021259,           0.0091989,                   0,             0.95973,             0.87595,             0.91604,             0.66627,            0.022908,           0.0063787,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.021592,           0.0093818,                   0,             0.97418,             0.86659,             0.92314,             0.67622,            0.022573,           0.0062096,                   0,            0.003664,            0.003664,            0.003664
                  98,            0.021223,           0.0091155,                   0,             0.96745,             0.86524,             0.91524,             0.68212,            0.021655,           0.0061437,                   0,            0.003598,            0.003598,            0.003598
                  99,            0.020667,           0.0088512,                   0,             0.97906,             0.85911,             0.91563,             0.66971,             0.02308,           0.0062985,                   0,            0.003532,            0.003532,            0.003532
                 100,            0.021413,           0.0091361,                   0,             0.95309,             0.87443,             0.91809,             0.66621,            0.023285,           0.0061433,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.020748,           0.0091262,                   0,             0.95812,              0.8759,              0.9208,             0.67981,            0.022358,           0.0061698,                   0,              0.0034,              0.0034,              0.0034
